r_m,J_amplitude_A_per_m2,J_phase_deg
0.000000000000000000e+00,2.798969867039565579e+05,3.815066537798229973e+01
4.885197850512945656e-07,2.798969867081355769e+05,3.815097847193349878e+01
9.770395701025891311e-07,2.798969867485326831e+05,3.815191775378698225e+01
1.465559355153883697e-06,2.798969868998124148e+05,3.815348322354214616e+01
1.954079140205178262e-06,2.798969872872654814e+05,3.815567488119667416e+01
2.442598925256472616e-06,2.798969880863831495e+05,3.815849272674475401e+01
2.931118710307767393e-06,2.798969895228192327e+05,3.816193676017442016e+01
3.419638495359062171e-06,2.798969918723812443e+05,3.816600698146417159e+01
3.908158280410356525e-06,2.798969954610274290e+05,3.817070339057887196e+01
4.396678065461650878e-06,2.798970006648648996e+05,3.817602598746492504e+01
4.885197850512945232e-06,2.798970079101499286e+05,3.818197477204459034e+01
5.373717635564240433e-06,2.798970176732870168e+05,3.818854974420970194e+01
5.862237420615534787e-06,2.798970304808289511e+05,3.819575090381449201e+01
6.350757205666829141e-06,2.798970469094763976e+05,3.820357825066782453e+01
6.839276990718124341e-06,2.798970675860780175e+05,3.821203178452449123e+01
7.327796775769418695e-06,2.798970931876305258e+05,3.822111150507595312e+01
7.816316560820713049e-06,2.798971244412779342e+05,3.823081741194017269e+01
8.304836345872008250e-06,2.798971621243119007e+05,3.824114950465083496e+01
8.793356130923301757e-06,2.798972070641713217e+05,3.825210778264569456e+01
9.281875915974596957e-06,2.798972601384424488e+05,3.826369224525427626e+01
9.770395701025890464e-06,2.798973222748580738e+05,3.827590289168475124e+01
1.025891548607718567e-05,2.798973944512977032e+05,3.828873972101015255e+01
1.074743527112848087e-05,2.798974776957873255e+05,3.830220273215373084e+01
1.123595505617977437e-05,2.798975730864983634e+05,3.831629192387367766e+01
1.172447484123106957e-05,2.798976817517481395e+05,3.833100729474697488e+01
1.221299462628236477e-05,2.798978048699985375e+05,3.834634884315265424e+01
1.270151441133365828e-05,2.798979436698560603e+05,3.836231656725416883e+01
1.319003419638495348e-05,2.798980994300706661e+05,3.837891046498107528e+01
1.367855398143624868e-05,2.798982734795357683e+05,3.839613053400996989e+01
1.416707376648754219e-05,2.798984671972863725e+05,3.841397677174469294e+01
1.465559355153883739e-05,2.798986820124992519e+05,3.843244917529570870e+01
1.514411333659013090e-05,2.798989194044910837e+05,3.845154774145885312e+01
1.563263312164142610e-05,2.798991809027178679e+05,3.847127246669327150e+01
1.612115290669271960e-05,2.798994680867733550e+05,3.849162334709852473e+01
1.660967269174401650e-05,2.798997825863880571e+05,3.851260037839120542e+01
1.709819247679531001e-05,2.799001260814273264e+05,3.853420355588045254e+01
1.758671226184660351e-05,2.799005003018897842e+05,3.855643287444302558e+01
1.807523204689790041e-05,2.799009070279058651e+05,3.857928832849751188e+01
1.856375183194919391e-05,2.799013480897355475e+05,3.860276991197772389e+01
1.905227161700048742e-05,2.799018253677662578e+05,3.862687761830545696e+01
1.954079140205178093e-05,2.799023407925107749e+05,3.865161144036247975e+01
2.002931118710307782e-05,2.799028963446042035e+05,3.867697137046171463e+01
2.051783097215437133e-05,2.799034940548021113e+05,3.870295740031775722e+01
2.100635075720566484e-05,2.799041360039768624e+05,3.872956952101658601e+01
2.149487054225696173e-05,2.799048243231149972e+05,3.875680772298461818e+01
2.198339032730825524e-05,2.799055611933135660e+05,3.878467199595682757e+01
2.247191011235954875e-05,2.799063488457766944e+05,3.881316232894441498e+01
2.296042989741084564e-05,2.799071895618117414e+05,3.884227871020145528e+01
2.344894968246213915e-05,2.799080856728249346e+05,3.887202112719094060e+01
2.393746946751343265e-05,2.799090395603172365e+05,3.890238956655011293e+01
2.442598925256472955e-05,2.799100536558798049e+05,3.893338401405492277e+01
2.491450903761602306e-05,2.799111304411884048e+05,3.896500445458387674e+01
2.540302882266731656e-05,2.799122724479989847e+05,3.899725087208110352e+01
2.589154860771861346e-05,2.799134822581411572e+05,3.903012324951860990e+01
2.638006839276990696e-05,2.799147625035129604e+05,3.906362156885793269e+01
2.686858817782120047e-05,2.799161158660739893e+05,3.909774581101092394e+01
2.735710796287249737e-05,2.799175450778392260e+05,3.913249595579986106e+01
2.784562774792379087e-05,2.799190529208715307e+05,3.916787198191686059e+01
2.833414753297508438e-05,2.799206422272744821e+05,3.920387386688244646e+01
2.882266731802637789e-05,2.799223158791840542e+05,3.924050158700345747e+01
2.931118710307767478e-05,2.799240768087611068e+05,3.927775511733024416e+01
2.979970688812896829e-05,2.799259279981817817e+05,3.931563443161308413e+01
3.028822667318026179e-05,2.799278724796290626e+05,3.935413950225783708e+01
3.077674645823155530e-05,2.799299133352822973e+05,3.939327030028096743e+01
3.126526624328285220e-05,2.799320536973080016e+05,3.943302679526375698e+01
3.175378602833414909e-05,2.799342967478484497e+05,3.947340895530579985e+01
3.224230581338543921e-05,2.799366457190107321e+05,3.951441674697778694e+01
3.273082559843673610e-05,2.799391038928553462e+05,3.955605013527362246e+01
3.321934538348803300e-05,2.799416746013836237e+05,3.959830908356165224e+01
3.370786516853932312e-05,2.799443612265246920e+05,3.964119355353533791e+01
3.419638495359062001e-05,2.799471672001227853e+05,3.968470350516317779e+01
3.468490473864191691e-05,2.799500960039225174e+05,3.972883889663776813e+01
3.517342452369320703e-05,2.799531511695546214e+05,3.977359968432435267e+01
3.566194430874450392e-05,2.799563362785206409e+05,3.981898582270853382e+01
3.615046409379580082e-05,2.799596549621768645e+05,3.986499726434324486e+01
3.663898387884709094e-05,2.799631109017179697e+05,3.991163395979511819e+01
