r_m,J_amplitude
0.000000000000000000e+00,1.359933056922109826e-05
2.506265664160400938e-06,1.359933056922109826e-05
5.012531328320801876e-06,1.359933056922109826e-05
7.518796992481202814e-06,1.359933056922109826e-05
1.002506265664160375e-05,1.359933056922109826e-05
1.253132832080200554e-05,1.359933056922109826e-05
1.503759398496240563e-05,1.359933056922109826e-05
1.754385964912280572e-05,1.359933056922109826e-05
2.005012531328320750e-05,1.359933056922109826e-05
2.255639097744360929e-05,1.359933056922109826e-05
2.506265664160401107e-05,1.359933056922109826e-05
2.756892230576440947e-05,1.359933056922109826e-05
3.007518796992481126e-05,1.359933056922109826e-05
3.258145363408520965e-05,1.359933056922109826e-05
3.508771929824561144e-05,1.359933056922109826e-05
3.759398496240601322e-05,1.359933056922109826e-05
4.010025062656641501e-05,1.359933056922109826e-05
4.260651629072681679e-05,1.359933056922109826e-05
4.511278195488721858e-05,1.359933056922109826e-05
4.761904761904762036e-05,1.359933056922109826e-05
5.012531328320802215e-05,1.359933056922109826e-05
5.263157894736841716e-05,1.359933056922109826e-05
5.513784461152881894e-05,1.359933056922109826e-05
5.764411027568922073e-05,1.359933056922109826e-05
6.015037593984962251e-05,1.359933056922109826e-05
6.265664160401002430e-05,1.359933056922109826e-05
6.516290726817041930e-05,1.359933056922109826e-05
6.766917293233082786e-05,1.359933056922109826e-05
7.017543859649122287e-05,1.359933056922109826e-05
7.268170426065163143e-05,1.359933056922109826e-05
7.518796992481202644e-05,1.359933056922109826e-05
7.769423558897243500e-05,1.359933056922109826e-05
8.020050125313283001e-05,1.359933056922109826e-05
8.270676691729322502e-05,1.359933056922109826e-05
8.521303258145363358e-05,1.359933056922109826e-05
8.771929824561402859e-05,1.359933056922109826e-05
9.022556390977443715e-05,1.359933056922109826e-05
9.273182957393483216e-05,1.359933056922109826e-05
9.523809523809524072e-05,1.359933056922109826e-05
9.774436090225563573e-05,1.359933056922109826e-05
1.002506265664160443e-04,1.359933056922109826e-05
