r_m,FD_J,exact_J
0.000000000000000000e+00,2.798969867039565579e+05,2.794687018214227865e+05
4.885197850512945656e-07,2.798969867081355769e+05,2.794687018235090654e+05
9.770395701025891311e-07,2.798969867485326831e+05,2.794687018548035994e+05
1.465559355153883697e-06,2.798969868998124148e+05,2.794687019904132467e+05
1.954079140205178262e-06,2.798969872872654814e+05,2.794687023555162596e+05
2.442598925256472616e-06,2.798969880863831495e+05,2.794687031253618770e+05
2.931118710307767393e-06,2.798969895228192327e+05,2.794687045252707903e+05
3.419638495359062171e-06,2.798969918723812443e+05,2.794687068306350266e+05
3.908158280410356525e-06,2.798969954610274290e+05,2.794687103669177159e+05
4.396678065461650878e-06,2.798970006648648996e+05,2.794687155096532078e+05
4.885197850512945232e-06,2.798970079101499286e+05,2.794687226844470133e+05
5.373717635564240433e-06,2.798970176732870168e+05,2.794687323669761536e+05
5.862237420615534787e-06,2.798970304808289511e+05,2.794687450829884619e+05
6.350757205666829141e-06,2.798970469094763976e+05,2.794687614083028748e+05
6.839276990718124341e-06,2.798970675860780175e+05,2.794687819688096642e+05
7.327796775769418695e-06,2.798970931876305258e+05,2.794688074404696818e+05
7.816316560820713049e-06,2.798971244412779342e+05,2.794688385493148817e+05
8.304836345872008250e-06,2.798971621243119007e+05,2.794688760714476812e+05
8.793356130923301757e-06,2.798972070641713217e+05,2.794689208330413676e+05
9.281875915974596957e-06,2.798972601384424488e+05,2.794689737103392254e+05
9.770395701025890464e-06,2.798973222748580738e+05,2.794690356296548853e+05
1.025891548607718567e-05,2.798973944512977032e+05,2.794691075673716841e+05
1.074743527112848087e-05,2.798974776957873255e+05,2.794691905499424902e+05
1.123595505617977437e-05,2.798975730864983634e+05,2.794692856538894121e+05
1.172447484123106957e-05,2.798976817517481395e+05,2.794693940058029839e+05
1.221299462628236477e-05,2.798978048699985375e+05,2.794695167823422817e+05
1.270151441133365828e-05,2.798979436698560603e+05,2.794696552102337591e+05
1.319003419638495348e-05,2.798980994300706661e+05,2.794698105662708986e+05
1.367855398143624868e-05,2.798982734795357683e+05,2.794699841773136286e+05
1.416707376648754219e-05,2.798984671972863725e+05,2.794701774202871020e+05
1.465559355153883739e-05,2.798986820124992519e+05,2.794703917221809970e+05
1.514411333659013090e-05,2.798989194044910837e+05,2.794706285600488191e+05
1.563263312164142610e-05,2.798991809027178679e+05,2.794708894610061543e+05
1.612115290669271960e-05,2.798994680867733550e+05,2.794711760022298549e+05
1.660967269174401650e-05,2.798997825863880571e+05,2.794714898109568167e+05
1.709819247679531001e-05,2.799001260814273264e+05,2.794718325644817669e+05
1.758671226184660351e-05,2.799005003018897842e+05,2.794722059901565081e+05
1.807523204689790041e-05,2.799009070279058651e+05,2.794726118653877056e+05
1.856375183194919391e-05,2.799013480897355475e+05,2.794730520176346181e+05
1.905227161700048742e-05,2.799018253677662578e+05,2.794735283244077000e+05
1.954079140205178093e-05,2.799023407925107749e+05,2.794740427132655168e+05
2.002931118710307782e-05,2.799028963446042035e+05,2.794745971618129988e+05
2.051783097215437133e-05,2.799034940548021113e+05,2.794751936976981233e+05
2.100635075720566484e-05,2.799041360039768624e+05,2.794758343986094114e+05
2.149487054225696173e-05,2.799048243231149972e+05,2.794765213922727853e+05
2.198339032730825524e-05,2.799055611933135660e+05,2.794772568564479006e+05
2.247191011235954875e-05,2.799063488457766944e+05,2.794780430189248873e+05
2.296042989741084564e-05,2.799071895618117414e+05,2.794788821575205075e+05
2.344894968246213915e-05,2.799080856728249346e+05,2.794797766000735573e+05
2.393746946751343265e-05,2.799090395603172365e+05,2.794807287244414329e+05
2.442598925256472955e-05,2.799100536558798049e+05,2.794817409584944253e+05
2.491450903761602306e-05,2.799111304411884048e+05,2.794828157801112393e+05
2.540302882266731656e-05,2.799122724479989847e+05,2.794839557171738707e+05
2.589154860771861346e-05,2.799134822581411572e+05,2.794851633475617273e+05
2.638006839276990696e-05,2.799147625035129604e+05,2.794864412991456920e+05
2.686858817782120047e-05,2.799161158660739893e+05,2.794877922497818363e+05
2.735710796287249737e-05,2.799175450778392260e+05,2.794892189273047261e+05
2.784562774792379087e-05,2.799190529208715307e+05,2.794907241095205536e+05
2.833414753297508438e-05,2.799206422272744821e+05,2.794923106241994537e+05
2.882266731802637789e-05,2.799223158791840542e+05,2.794939813490677625e+05
2.931118710307767478e-05,2.799240768087611068e+05,2.794957392117996351e+05
2.979970688812896829e-05,2.799259279981817817e+05,2.794975871900084312e+05
3.028822667318026179e-05,2.799278724796290626e+05,2.794995283112374600e+05
3.077674645823155530e-05,2.799299133352822973e+05,2.795015656529504340e+05
3.126526624328285220e-05,2.799320536973080016e+05,2.795037023425212828e+05
3.175378602833414909e-05,2.799342967478484497e+05,2.795059415572233847e+05
3.224230581338543921e-05,2.799366457190107321e+05,2.795082865242186817e+05
3.273082559843673610e-05,2.799391038928553462e+05,2.795107405205456889e+05
3.321934538348803300e-05,2.799416746013836237e+05,2.795133068731075618e+05
3.370786516853932312e-05,2.799443612265246920e+05,2.795159889586592326e+05
3.419638495359062001e-05,2.799471672001227853e+05,2.795187902037937311e+05
3.468490473864191691e-05,2.799500960039225174e+05,2.795217140849284478e+05
3.517342452369320703e-05,2.799531511695546214e+05,2.795247641282908153e+05
3.566194430874450392e-05,2.799563362785206409e+05,2.795279439099022420e+05
3.615046409379580082e-05,2.799596549621768645e+05,2.795312570555632119e+05
3.663898387884709094e-05,2.799631109017179697e+05,2.795347072408357635e+05
3.712750366389838783e-05,2.799667078281595604e+05,2.795382981910269009e+05
3.761602344894968472e-05,2.799704495223199483e+05,2.795420336811704910e+05
3.810454323400097484e-05,2.799743398148019332e+05,2.795459175360082299e+05
3.859306301905227174e-05,2.799783825859730132e+05,2.795499536299704923e+05
3.908158280410356186e-05,2.799825817659449531e+05,2.795541458871560753e+05
3.957010258915485875e-05,2.799869413345530629e+05,2.795584982813110109e+05
4.005862237420615565e-05,2.799914653213342535e+05,2.795630148358070292e+05
4.054714215925744577e-05,2.799961578055041027e+05,2.795676996236186242e+05
4.103566194430874266e-05,2.800010229159338633e+05,2.795725567672995385e+05
4.152418172936003956e-05,2.800060648311255500e+05,2.795775904389588395e+05
4.201270151441132967e-05,2.800112877791866194e+05,2.795828048602350173e+05
4.250122129946262657e-05,2.800166960378043586e+05,2.795882043022703729e+05
4.298974108451392346e-05,2.800222939342178870e+05,2.795937930856834864e+05
4.347826086956521358e-05,2.800280858451906824e+05,2.795995755805414519e+05
4.396678065461651048e-05,2.800340761969811865e+05,2.796055562063306570e+05
4.445530043966780737e-05,2.800402694653130020e+05,2.796117394319268060e+05
4.494382022471909749e-05,2.800466701753433445e+05,2.796181297755639534e+05
4.543234000977039439e-05,2.800532829016313772e+05,2.796247318048021407e+05
4.592085979482169128e-05,2.800601122681048000e+05,2.796315501364946249e+05
4.640937957987298140e-05,2.800671629480251577e+05,2.796385894367533037e+05
4.689789936492427829e-05,2.800744396639532642e+05,2.796458544209132669e+05
4.738641914997557519e-05,2.800819471877118340e+05,2.796533498534968821e+05
4.787493893502686531e-05,2.800896903403482283e+05,2.796610805481754942e+05
4.836345872007816220e-05,2.800976739920955151e+05,2.796690513677308918e+05
4.885197850512945910e-05,2.801059030623321887e+05,2.796772672240152606e+05
4.934049829018074922e-05,2.801143825195409008e+05,2.796857330779096228e+05
4.982901807523204611e-05,2.801231173812658526e+05,2.796944539392820443e+05
5.031753786028334301e-05,2.801321127140693134e+05,2.797034348669428146e+05
5.080605764533463312e-05,2.801413736334856949e+05,2.797126809686004417e+05
5.129457743038593002e-05,2.801509053039758001e+05,2.797221974008143297e+05
5.178309721543722691e-05,2.801607129388786270e+05,2.797319893689473975e+05
5.227161700048851703e-05,2.801708018003620091e+05,2.797420621271168930e+05
5.276013678553981393e-05,2.801811771993724979e+05,2.797524209781440441e+05
5.324865657059111082e-05,2.801918444955826853e+05,2.797630712735018460e+05
5.373717635564240094e-05,2.802028090973381768e+05,2.797740184132613358e+05
5.422569614069369784e-05,2.802140764616022352e+05,2.797852678460375755e+05
5.471421592574499473e-05,2.802256520938997273e+05,2.797968250689324341e+05
5.520273571079628485e-05,2.802375415482586832e+05,2.798086956274770200e+05
5.569125549584758174e-05,2.802497504271509824e+05,2.798208851155721932e+05
5.617977528089887186e-05,2.802622843814315274e+05,2.798333991754273884e+05
5.666829506595016876e-05,2.802751491102744476e+05,2.798462434974981006e+05
5.715681485100146565e-05,2.802883503611098859e+05,2.798594238204215653e+05
5.764533463605275577e-05,2.803018939295572927e+05,2.798729459309507511e+05
5.813385442110405267e-05,2.803157856593577890e+05,2.798868156638868386e+05
5.862237420615534956e-05,2.803300314423050149e+05,2.799010389020096627e+05
5.911089399120663968e-05,2.803446372181734187e+05,2.799156215760068735e+05
5.959941377625793658e-05,2.803596089746458456e+05,2.799305696644012351e+05
6.008793356130923347e-05,2.803749527472385671e+05,2.799458891934754211e+05
6.057645334636052359e-05,2.803906746192243882e+05,2.799615862371961703e+05
6.106497313141182048e-05,2.804067807215550565e+05,2.799776669171358226e+05
6.155349291646311060e-05,2.804232772327803541e+05,2.799941374023919925e+05
6.204201270151441427e-05,2.804401703789659077e+05,2.800110039095056709e+05
6.253053248656570439e-05,2.804574664336095448e+05,2.800282727023774059e+05
6.301905227161699451e-05,2.804751717175546801e+05,2.800459500921810395e+05
6.350757205666829818e-05,2.804932925989028299e+05,2.800640424372760463e+05
6.399609184171958830e-05,2.805118354929230991e+05,2.800825561431177193e+05
6.448461162677087842e-05,2.805308068619606202e+05,2.801014976621647947e+05
6.497313141182218209e-05,2.805502132153418497e+05,2.801208734937862027e+05
6.546165119687347221e-05,2.805700611092787003e+05,2.801406901841640356e+05
6.595017098192476233e-05,2.805903571467698785e+05,2.801609543261963408e+05
6.643869076697606600e-05,2.806111079775010585e+05,2.801816725593960145e+05
6.692721055202735612e-05,2.806323202977415640e+05,2.802028515697887051e+05
6.741573033707864624e-05,2.806540008502395940e+05,2.802244980898081558e+05
6.790425012212994991e-05,2.806761564241157612e+05,2.802466188981890446e+05
6.839276990718124003e-05,2.806987938547529629e+05,2.802692208198580192e+05
6.888128969223253014e-05,2.807219200236852048e+05,2.802923107258221135e+05
6.936980947728383382e-05,2.807455418584837462e+05,2.803158955330553581e+05
6.985832926233512393e-05,2.807696663326406269e+05,2.803399822043820750e+05
7.034684904738641405e-05,2.807943004654503311e+05,2.803645777483591810e+05
7.083536883243771772e-05,2.808194513218882494e+05,2.803896892191548832e+05
7.132388861748900784e-05,2.808451260124881519e+05,2.804153237164259190e+05
7.181240840254029796e-05,2.808713316932157613e+05,2.804414883851912455e+05
7.230092818759160163e-05,2.808980755653404631e+05,2.804681904157046229e+05
7.278944797264289175e-05,2.809253648753048619e+05,2.804954370433238801e+05
7.327796775769418187e-05,2.809532069145910209e+05,2.805232355483773863e+05
7.376648754274548554e-05,2.809816090195850120e+05,2.805515932560288347e+05
7.425500732779677566e-05,2.810105785714382655e+05,2.805805175361390575e+05
7.474352711284806578e-05,2.810401229959267657e+05,2.806100158031249885e+05
7.523204689789936945e-05,2.810702497633072198e+05,2.806400955158163561e+05
7.572056668295065957e-05,2.811009663881709566e+05,2.806707641773097566e+05
7.620908646800194969e-05,2.811322804292946821e+05,2.807020293348197592e+05
7.669760625305325336e-05,2.811641994894894306e+05,2.807338985795277404e+05
7.718612603810454348e-05,2.811967312154456158e+05,2.807663795464274590e+05
7.767464582315583360e-05,2.812298832975762780e+05,2.807994799141684198e+05
7.816316560820712371e-05,2.812636634698571288e+05,2.808332074048962677e+05
7.865168539325842739e-05,2.812980795096636866e+05,2.808675697840903304e+05
7.914020517830971750e-05,2.813331392376064323e+05,2.809025748603981920e+05
7.962872496336100762e-05,2.813688505173618905e+05,2.809382304854681715e+05
8.011724474841231129e-05,2.814052212555012666e+05,2.809745445537779015e+05
8.060576453346360141e-05,2.814422594013173366e+05,2.810115250024608104e+05
8.109428431851489153e-05,2.814799729466469144e+05,2.810491798111293465e+05
8.158280410356619520e-05,2.815183699256906402e+05,2.810875170016954071e+05
8.207132388861748532e-05,2.815574584148307331e+05,2.811265446381876827e+05
8.255984367366877544e-05,2.815972465324449586e+05,2.811662708265662659e+05
8.304836345872007911e-05,2.816377424387178035e+05,2.812067037145342911e+05
8.353688324377136923e-05,2.816789543354486814e+05,2.812478514913460240e+05
8.402540302882265935e-05,2.817208904658569954e+05,2.812897223876124481e+05
8.451392281387396302e-05,2.817635591143844067e+05,2.813323246751039405e+05
8.500244259892525314e-05,2.818069686064936686e+05,2.813756666665491648e+05
8.549096238397654326e-05,2.818511273084650165e+05,2.814197567154317512e+05
8.597948216902784693e-05,2.818960436271881917e+05,2.814646032157830778e+05
8.646800195407913705e-05,2.819417260099529522e+05,2.815102146019723150e+05
8.695652173913042716e-05,2.819881829442350427e+05,2.815565993484937353e+05
8.744504152418173084e-05,2.820354229574796045e+05,2.816037659697499475e+05
8.793356130923302095e-05,2.820834546168818488e+05,2.816517230198322795e+05
8.842208109428431107e-05,2.821322865291635389e+05,2.817004790922989487e+05
8.891060087933561474e-05,2.821819273403470288e+05,2.817500428199481685e+05
8.939912066438690486e-05,2.822323857355258660e+05,2.818004228745899163e+05
8.988764044943819498e-05,2.822836704386316123e+05,2.818516279668127536e+05
9.037616023448949865e-05,2.823357902121986263e+05,2.819036668457491323e+05
9.086468001954078877e-05,2.823887538571244804e+05,2.819565482988358708e+05
9.135319980459207889e-05,2.824425702124272357e+05,2.820102811515723006e+05
9.184171958964338256e-05,2.824972481549998629e+05,2.820648742672746885e+05
9.233023937469467268e-05,2.825527965993612888e+05,2.821203365468276897e+05
9.281875915974596280e-05,2.826092244974034838e+05,2.821766769284320180e+05
9.330727894479726647e-05,2.826665408381359885e+05,2.822339043873493792e+05
9.379579872984855659e-05,2.827247546474271803e+05,2.822920279356435640e+05
9.428431851489984671e-05,2.827838749877408845e+05,2.823510566219183384e+05
9.477283829995115038e-05,2.828439109578712378e+05,2.824109995310522499e+05
9.526135808500244050e-05,2.829048716926734778e+05,2.824718657839293010e+05
9.574987787005373062e-05,2.829667663627910079e+05,2.825336645371675259e+05
9.623839765510503429e-05,2.830296041743794922e+05,2.825964049828428542e+05
9.672691744015632441e-05,2.830933943688276922e+05,2.826600963482106454e+05
9.721543722520761452e-05,2.831581462224747520e+05,2.827247478954228573e+05
9.770395701025891820e-05,2.832238690463237581e+05,2.827903689212426543e+05
9.819247679531020831e-05,2.832905721857523895e+05,2.828569687567555811e+05
9.868099658036149843e-05,2.833582650202202494e+05,2.829245567670763121e+05
9.916951636541280210e-05,2.834269569629716570e+05,2.829931423510533641e+05
9.965803615046409222e-05,2.834966574607368093e+05,2.830627349409695598e+05
1.001465559355153823e-04,2.835673759934279369e+05,2.831333440022391733e+05
1.006350757205666860e-04,2.836391220738330740e+05,2.832049790331021650e+05
1.011235955056179761e-04,2.837119052473058109e+05,2.832776495643142262e+05
1.016121152906692662e-04,2.837857350914521376e+05,2.833513651588340872e+05
1.021006350757205699e-04,2.838606212158132112e+05,2.834261354115071008e+05
1.025891548607718600e-04,2.839365732615456218e+05,2.835019699487455655e+05
1.030776746458231502e-04,2.840136009010973503e+05,2.835788784282054985e+05
1.035661944308744538e-04,2.840917138378811069e+05,2.836568705384602072e+05
1.040547142159257439e-04,2.841709218059437117e+05,2.837359559986703680e+05
1.045432340009770341e-04,2.842512345696320408e+05,2.838161445582506713e+05
1.050317537860283377e-04,2.843326619232566445e+05,2.838974459965333226e+05
1.055202735710796279e-04,2.844152136907504173e+05,2.839798701224280521e+05
1.060087933561309180e-04,2.844988997253252310e+05,2.840634267740783980e+05
1.064973131411822216e-04,2.845837299091246095e+05,2.841481258185158367e+05
1.069858329262335118e-04,2.846697141528730281e+05,2.842339771513087326e+05
1.074743527112848019e-04,2.847568623955223011e+05,2.843209906962101231e+05
1.079628724963361056e-04,2.848451846038941876e+05,2.844091764047999750e+05
1.084513922813873957e-04,2.849346907723201439e+05,2.844985442561262171e+05
1.089399120664386858e-04,2.850253909222775837e+05,2.845891042563412921e+05
1.094284318514899895e-04,2.851172951020227629e+05,2.846808664383355062e+05
1.099169516365412796e-04,2.852104133862206363e+05,2.847738408613673528e+05
1.104054714215925697e-04,2.853047558755713981e+05,2.848680376106913900e+05
1.108939912066438598e-04,2.854003326964340522e+05,2.849634667971811723e+05
1.113825109916951635e-04,2.854971540004464332e+05,2.850601385569507838e+05
1.118710307767464536e-04,2.855952299641420250e+05,2.851580630509719485e+05
1.123595505617977437e-04,2.856945707885643351e+05,2.852572504646889283e+05
1.128480703468490474e-04,2.857951866988772526e+05,2.853577110076296376e+05
1.133365901319003375e-04,2.858970879439730779e+05,2.854594549130140804e+05
1.138251099169516276e-04,2.860002847960770596e+05,2.855624924373595277e+05
1.143136297020029313e-04,2.861047875503487885e+05,2.856668338600827847e+05
1.148021494870542214e-04,2.862106065244812635e+05,2.857724894830996054e+05
1.152906692721055115e-04,2.863177520582962898e+05,2.858794696304204408e+05
