x_m,y_m
0.000000000000000000e+00,0.000000000000000000e+00
1.141848214442383577e-04,1.977739121946010966e-04
-1.141848214442383577e-04,1.977739121946010966e-04
2.283696428884767155e-04,0.000000000000000000e+00
1.141848214442383577e-04,-1.977739121946010966e-04
-1.141848214442383577e-04,-1.977739121946010966e-04
-2.283696428884767155e-04,0.000000000000000000e+00
0.000000000000000000e+00,-3.955478243892021932e-04
0.000000000000000000e+00,3.955478243892021932e-04
3.425544643327150867e-04,1.977739121946010966e-04
-3.425544643327150867e-04,-1.977739121946010966e-04
3.425544643327150867e-04,-1.977739121946010966e-04
-3.425544643327150867e-04,1.977739121946010966e-04
2.283696428884767155e-04,3.955478243892021932e-04
4.567392857769534309e-04,0.000000000000000000e+00
-4.567392857769534309e-04,0.000000000000000000e+00
-2.283696428884767155e-04,3.955478243892021932e-04
-2.283696428884767155e-04,-3.955478243892021932e-04
2.283696428884767155e-04,-3.955478243892021932e-04
5.709241072211917751e-04,1.977739121946010966e-04
1.141848214442383577e-04,-5.933217365838033440e-04
-1.141848214442383577e-04,-5.933217365838033440e-04
4.567392857769534309e-04,-3.955478243892021932e-04
-4.567392857769534309e-04,-3.955478243892021932e-04
-4.567392857769534309e-04,3.955478243892021932e-04
-5.709241072211917751e-04,1.977739121946010966e-04
5.709241072211917751e-04,-1.977739121946010966e-04
-5.709241072211917751e-04,-1.977739121946010966e-04
1.141848214442383577e-04,5.933217365838033440e-04
4.567392857769534309e-04,3.955478243892021932e-04
-1.141848214442383577e-04,5.933217365838033440e-04
-3.425544643327150867e-04,5.933217365838033440e-04
-6.851089286654301735e-04,0.000000000000000000e+00
3.425544643327150867e-04,5.933217365838033440e-04
6.851089286654301735e-04,0.000000000000000000e+00
3.425544643327150867e-04,-5.933217365838033440e-04
-3.425544643327150867e-04,-5.933217365838033440e-04
0.000000000000000000e+00,-7.910956487784043863e-04
0.000000000000000000e+00,7.910956487784043863e-04
6.851089286654301735e-04,-3.955478243892021932e-04
-6.851089286654301735e-04,-3.955478243892021932e-04
6.851089286654301735e-04,3.955478243892021932e-04
-6.851089286654301735e-04,3.955478243892021932e-04
-7.992937501096684634e-04,1.977739121946010966e-04
-7.992937501096684634e-04,-1.977739121946010966e-04
2.283696428884767155e-04,7.910956487784043863e-04
2.283696428884767155e-04,-7.910956487784043863e-04
-2.283696428884767155e-04,-7.910956487784043863e-04
-2.283696428884767155e-04,7.910956487784043863e-04
-5.709241072211917751e-04,-5.933217365838033440e-04
-5.709241072211917751e-04,5.933217365838033440e-04
5.709241072211917751e-04,5.933217365838033440e-04
7.992937501096685719e-04,-1.977739121946010966e-04
7.992937501096685719e-04,1.977739121946010966e-04
5.709241072211917751e-04,-5.933217365838033440e-04
9.134785715539068618e-04,0.000000000000000000e+00
-9.134785715539068618e-04,0.000000000000000000e+00
-4.567392857769534309e-04,7.910956487784043863e-04
4.567392857769534309e-04,7.910956487784043863e-04
-4.567392857769534309e-04,-7.910956487784043863e-04
4.567392857769534309e-04,-7.910956487784043863e-04
-7.992937501096684634e-04,-5.933217365838033440e-04
-7.992937501096684634e-04,5.933217365838033440e-04
-1.141848214442383577e-04,9.888695609730055371e-04
-9.134785715539068618e-04,3.955478243892021932e-04
7.992937501096685719e-04,-5.933217365838033440e-04
9.134785715539068618e-04,3.955478243892021932e-04
-9.134785715539068618e-04,-3.955478243892021932e-04
1.141848214442383577e-04,-9.888695609730055371e-04
9.134785715539068618e-04,-3.955478243892021932e-04
7.992937501096685719e-04,5.933217365838033440e-04
1.141848214442383577e-04,9.888695609730055371e-04
-1.141848214442383577e-04,-9.888695609730055371e-04
1.027663392998145152e-03,-1.977739121946010966e-04
-6.851089286654301735e-04,-7.910956487784043863e-04
6.851089286654301735e-04,7.910956487784043863e-04
1.027663392998145152e-03,1.977739121946010966e-04
6.851089286654301735e-04,-7.910956487784043863e-04
-6.851089286654301735e-04,7.910956487784043863e-04
-1.027663392998145152e-03,1.977739121946010966e-04
-1.027663392998145152e-03,-1.977739121946010966e-04
3.425544643327150867e-04,9.888695609730055371e-04
-3.425544643327150867e-04,9.888695609730055371e-04
3.425544643327150867e-04,-9.888695609730055371e-04
-3.425544643327150867e-04,-9.888695609730055371e-04
5.709241072211917751e-04,-9.888695609730055371e-04
-5.709241072211917751e-04,-9.888695609730055371e-04
5.709241072211917751e-04,9.888695609730055371e-04
-1.141848214442383550e-03,0.000000000000000000e+00
-5.709241072211917751e-04,9.888695609730055371e-04
1.141848214442383550e-03,0.000000000000000000e+00
-1.027663392998145152e-03,-5.933217365838033440e-04
1.027663392998145152e-03,-5.933217365838033440e-04
-1.027663392998145152e-03,5.933217365838033440e-04
1.027663392998145152e-03,5.933217365838033440e-04
0.000000000000000000e+00,-1.186643473167606688e-03
0.000000000000000000e+00,1.186643473167606688e-03
2.283696428884767155e-04,-1.186643473167606688e-03
-2.283696428884767155e-04,-1.186643473167606688e-03
-9.134785715539068618e-04,7.910956487784043863e-04
2.283696428884767155e-04,1.186643473167606688e-03
1.141848214442383550e-03,-3.955478243892021932e-04
