strand,ring,x_m,y_m,I_amplitude_A,I_phase_deg
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.664063913645070754e-03,4.621165533916482815e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.141848214442383577e-04,1.977739121946010966e-04,2.066466579620414475e-03,-6.816700519186535523e+00
2.000000000000000000e+00,1.000000000000000000e+00,-1.141848214442383577e-04,1.977739121946010966e-04,2.066482627385187332e-03,-6.816748370977472327e+00
3.000000000000000000e+00,1.000000000000000000e+00,2.283696428884767155e-04,0.000000000000000000e+00,2.066468810604269596e-03,-6.816899435212763869e+00
4.000000000000000000e+00,1.000000000000000000e+00,1.141848214442383577e-04,-1.977739121946010966e-04,2.066466075318549016e-03,-6.816769792619516544e+00
5.000000000000000000e+00,1.000000000000000000e+00,-1.141848214442383577e-04,-1.977739121946010966e-04,2.066477901200139845e-03,-6.816752375977815248e+00
6.000000000000000000e+00,1.000000000000000000e+00,-2.283696428884767155e-04,0.000000000000000000e+00,2.066506320503533074e-03,-6.817200954415489456e+00
7.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,-3.955478243892021932e-04,4.192557552445348550e-03,-7.104531724889554312e+01
8.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.955478243892021932e-04,4.192557512890774524e-03,-7.104527222890531846e+01
9.000000000000000000e+00,2.000000000000000000e+00,3.425544643327150867e-04,1.977739121946010966e-04,4.192569631903615528e-03,-7.104519251329131180e+01
1.000000000000000000e+01,2.000000000000000000e+00,-3.425544643327150867e-04,-1.977739121946010966e-04,4.192636592727872445e-03,-7.104527026720758442e+01
1.100000000000000000e+01,2.000000000000000000e+00,3.425544643327150867e-04,-1.977739121946010966e-04,4.192575301376886589e-03,-7.104526932007345863e+01
1.200000000000000000e+01,2.000000000000000000e+00,-3.425544643327150867e-04,1.977739121946010966e-04,4.192640646762035503e-03,-7.104513548829841341e+01
1.300000000000000000e+01,2.000000000000000000e+00,2.283696428884767155e-04,3.955478243892021932e-04,6.098734896447943407e-03,-9.229682021921422574e+01
1.400000000000000000e+01,2.000000000000000000e+00,4.567392857769534309e-04,0.000000000000000000e+00,6.098768669482307336e-03,-9.229718662173861787e+01
1.500000000000000000e+01,2.000000000000000000e+00,-4.567392857769534309e-04,0.000000000000000000e+00,6.098906151053325522e-03,-9.229709638850796694e+01
1.600000000000000000e+01,2.000000000000000000e+00,-2.283696428884767155e-04,3.955478243892021932e-04,6.098766734604941370e-03,-9.229686312278735727e+01
1.700000000000000000e+01,2.000000000000000000e+00,-2.283696428884767155e-04,-3.955478243892021932e-04,6.098752827497426303e-03,-9.229698358816334292e+01
