d_req_mm,design_point,N_exact,N_hex,d_actual_mm,beta,F_skin,ratio_L1,imbalance_L1,L1_avg_ref,L1_avg_p_ohm_W_per_m,L1_avg_p_prox_W_per_m,fill,OD_mm,R_ac_L1_ohm_per_m,P_L1_W_per_m
0.06,0,1768.39,1801,0.0594543,0.402339,1.00003,4.53264,4.53248,4.00895,5.42777,0.101821,0.834617,2.76183,0.0156298,6.25192
0.07,0,1299.22,1261,0.071053,0.48083,1.00007,4.53433,4.53402,3.96926,5.33208,0.142754,0.837571,2.75695,0.0156356,6.25425
0.08,0,994.718,1027,0.0787326,0.532799,1.0001,4.53618,4.5357,3.92662,5.24374,0.172289,0.833848,2.7631,0.015642,6.2568
0.09,0,785.95,817,0.0882732,0.597362,1.00017,4.52646,4.52571,3.99117,5.29509,0.209973,0.824234,2.77917,0.0156085,6.24339
0.1,0,636.62,631,0.100444,0.679727,1.00028,4.55087,4.5496,3.84815,5.03587,0.271926,0.817978,2.78978,0.0156927,6.27706
0.11,0,526.132,547,0.107881,0.730054,1.00037,4.55771,4.55603,3.77625,4.89613,0.312489,0.819371,2.7874,0.0157163,6.2865
0.12,0,442.097,469,0.116507,0.788429,1.0005,4.55229,4.55,3.81542,4.90526,0.357396,0.801499,2.81831,0.0156976,6.27902
0.13,0,376.698,397,0.126632,0.856946,1.0007,4.54083,4.53765,3.83914,4.8817,0.41366,0.797024,2.82621,0.015658,6.26322
0.14,0,324.806,331,0.138684,0.938501,1.00101,4.5624,4.5578,3.62459,4.48861,0.510825,0.789138,2.8403,0.0157324,6.29297
0.15,0,282.942,271,0.153269,1.0372,1.00151,4.62119,4.61424,3.53199,4.23032,0.641386,0.776058,2.86413,0.0159351,6.37405
0.16,0,248.68,271,0.153269,1.0372,1.00151,4.62119,4.61424,3.53199,4.23032,0.641386,0.776058,2.86413,0.0159351,6.37405
0.17,0,220.284,217,0.171281,1.1591,1.00235,4.50988,4.49933,3.58637,4.14023,0.806492,0.755042,2.90372,0.0155513,6.22053
0.18,0,196.488,217,0.171281,1.1591,1.00235,4.50988,4.49933,3.58637,4.14023,0.806492,0.755042,2.90372,0.0155513,6.22053
0.19,0,176.349,169,0.194087,1.31343,1.00386,4.64914,4.63125,3.66228,3.99726,1.05417,0.735968,2.94111,0.0160315,6.41261
0.2,0,159.155,169,0.194087,1.31343,1.00386,4.64914,4.63125,3.66228,3.99726,1.05417,0.735968,2.94111,0.0160315,6.41261
0.21,0,144.358,127,0.223892,1.51512,1.00682,4.17056,4.14229,3.49466,3.04365,1.77657,0.722298,2.96881,0.0143812,5.7525
0.22,0,131.533,127,0.223892,1.51512,1.00682,4.17056,4.14229,3.49466,3.04365,1.77657,0.722298,2.96881,0.0143812,5.7525
0.23,0,120.344,127,0.223892,1.51512,1.00682,4.17056,4.14229,3.49466,3.04365,1.77657,0.722298,2.96881,0.0143812,5.7525
0.24,0,110.524,127,0.223892,1.51512,1.00682,4.17056,4.14229,3.49466,3.04365,1.77657,0.722298,2.96881,0.0143812,5.7525
0.25,0,101.859,91,0.264496,1.7899,1.01322,4.00451,3.95225,4.02677,2.73235,2.82181,0.722862,2.96765,0.0138087,5.52347
0.26,0,94.1745,91,0.264496,1.7899,1.01322,4.00451,3.95225,4.02677,2.73235,2.82181,0.722862,2.96765,0.0138087,5.52347
0.27,0,87.3278,91,0.264496,1.7899,1.01322,4.00451,3.95225,4.02677,2.73235,2.82181,0.722862,2.96765,0.0138087,5.52347
0.28,0,81.2015,91,0.264496,1.7899,1.01322,4.00451,3.95225,4.02677,2.73235,2.82181,0.722862,2.96765,0.0138087,5.52347
0.29,0,75.698,61,0.323054,2.18617,1.02905,3.76039,3.65422,5.37163,2.42596,4.98318,0.723843,2.96564,0.0129669,5.18674
0.3,0,70.7355,61,0.323054,2.18617,1.02905,3.76039,3.65422,5.37163,2.42596,4.98318,0.723843,2.96564,0.0129669,5.18674
0.31,0,66.2456,61,0.323054,2.18617,1.02905,3.76039,3.65422,5.37163,2.42596,4.98318,0.723843,2.96564,0.0129669,5.18674
0.32,0,62.1699,61,0.323054,2.18617,1.02905,3.76039,3.65422,5.37163,2.42596,4.98318,0.723843,2.96564,0.0129669,5.18674
0.33,0,58.4591,61,0.323054,2.18617,1.02905,3.76039,3.65422,5.37163,2.42596,4.98318,0.723843,2.96564,0.0129669,5.18674
0.34,0,55.0709,61,0.323054,2.18617,1.02905,3.76039,3.65422,5.37163,2.42596,4.98318,0.723843,2.96564,0.0129669,5.18674
0.35,0,51.969,61,0.323054,2.18617,1.02905,3.76039,3.65422,5.37163,2.42596,4.98318,0.723843,2.96564,0.0129669,5.18674
0.36,0,49.1219,61,0.323054,2.18617,1.02905,3.76039,3.65422,5.37163,2.42596,4.98318,0.723843,2.96564,0.0129669,5.18674
0.37,0,46.5025,37,0.4148,2.80704,1.07596,3.42913,3.18704,9.01594,2.16389,10.2719,0.725781,2.96168,0.0118246,4.72983
0.38,0,44.0872,37,0.4148,2.80704,1.07596,3.42913,3.18704,9.01594,2.16389,10.2719,0.725781,2.96168,0.0118246,4.72983
0.39,0,41.8553,37,0.4148,2.80704,1.07596,3.42913,3.18704,9.01594,2.16389,10.2719,0.725781,2.96168,0.0118246,4.72983
0.4,0,39.7887,37,0.4148,2.80704,1.07596,3.42913,3.18704,9.01594,2.16389,10.2719,0.725781,2.96168,0.0118246,4.72983
0.2239,1,126.991,127,0.223892,1.51512,1.00682,4.17056,4.14229,3.49466,3.04365,1.77657,0.722298,2.96881,0.0143812,5.7525
