strand,ring,x_m,y_m,I_amplitude_A,I_phase_deg
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.447421445538833725e-04,6.531849465806389787e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999869e-04,0.000000000000000000e+00,5.684220295594841601e-04,4.278180094815747481e+01
2.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000698e-05,1.299038105676657826e-04,5.684211844332267725e-04,4.278223451606238825e+01
3.000000000000000000e+00,1.000000000000000000e+00,-7.499999999999996632e-05,1.299038105676657826e-04,5.684211323249359999e-04,4.278217775562859515e+01
4.000000000000000000e+00,1.000000000000000000e+00,-1.499999999999999869e-04,1.836970198721029595e-20,5.684236472630463041e-04,4.278174786971585064e+01
5.000000000000000000e+00,1.000000000000000000e+00,-7.500000000000006119e-05,-1.299038105676657555e-04,5.684235221673773460e-04,4.278200067342184099e+01
6.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000698e-05,-1.299038105676657826e-04,5.684236392410490666e-04,4.278204419052009655e+01
7.000000000000000000e+00,2.000000000000000000e+00,2.999999999999999737e-04,0.000000000000000000e+00,8.115942972898432511e-04,-5.557152591573292888e+00
8.000000000000000000e+00,2.000000000000000000e+00,2.598076211353315653e-04,1.499999999999999598e-04,8.145447512181603223e-04,-5.803283443257394758e+00
9.000000000000000000e+00,2.000000000000000000e+00,1.500000000000000140e-04,2.598076211353315653e-04,8.115900950994940893e-04,-5.556928726748919800e+00
1.000000000000000000e+01,2.000000000000000000e+00,1.836970198721029595e-20,2.999999999999999737e-04,8.145474605054612302e-04,-5.803395869821269315e+00
1.100000000000000000e+01,2.000000000000000000e+00,-1.499999999999999326e-04,2.598076211353315653e-04,8.115913032551858985e-04,-5.556938683090707265e+00
1.200000000000000000e+01,2.000000000000000000e+00,-2.598076211353315653e-04,1.499999999999999598e-04,8.145472074624494473e-04,-5.803354243285864023e+00
1.300000000000000000e+01,2.000000000000000000e+00,-2.999999999999999737e-04,3.673940397442059190e-20,8.115973104151264937e-04,-5.557192370816511406e+00
1.400000000000000000e+01,2.000000000000000000e+00,-2.598076211353316195e-04,-1.499999999999999326e-04,8.145505359479607473e-04,-5.803307326388730480e+00
1.500000000000000000e+01,2.000000000000000000e+00,-1.500000000000001224e-04,-2.598076211353315111e-04,8.115971855458308177e-04,-5.557076156472384731e+00
1.600000000000000000e+01,2.000000000000000000e+00,-5.510910596163088785e-20,-2.999999999999999737e-04,8.145549752701085897e-04,-5.803635502873753182e+00
1.700000000000000000e+01,2.000000000000000000e+00,1.500000000000000140e-04,-2.598076211353315653e-04,8.115966155087313717e-04,-5.557064049636329273e+00
1.800000000000000000e+01,2.000000000000000000e+00,2.598076211353315111e-04,-1.500000000000001224e-04,8.145483159534783408e-04,-5.803303576675976849e+00
1.900000000000000000e+01,3.000000000000000000e+00,4.499999999999999877e-04,0.000000000000000000e+00,1.494302225805142032e-03,-5.475670221944229610e+01
2.000000000000000000e+01,3.000000000000000000e+00,4.228616793536587931e-04,1.539090644965509288e-04,1.496878559634545400e-03,-5.486691669468548582e+01
2.100000000000000000e+01,3.000000000000000000e+00,3.447199994035400725e-04,2.892544243589426447e-04,1.496872454736646778e-03,-5.486681533565658953e+01
2.200000000000000000e+01,3.000000000000000000e+00,2.250000000000000481e-04,3.897114317029973479e-04,1.494293176170867444e-03,-5.475659497503181683e+01
2.300000000000000000e+01,3.000000000000000000e+00,7.814167995011867993e-05,4.431634888554935735e-04,1.496883142075215809e-03,-5.486696905600694407e+01
2.400000000000000000e+01,3.000000000000000000e+00,-7.814167995011863928e-05,4.431634888554935735e-04,1.496883662756842530e-03,-5.486693059293238406e+01
2.500000000000000000e+01,3.000000000000000000e+00,-2.249999999999999125e-04,3.897114317029974021e-04,1.494295386311446025e-03,-5.475655461960423054e+01
2.600000000000000000e+01,3.000000000000000000e+00,-3.447199994035400725e-04,2.892544243589427531e-04,1.496876851102735230e-03,-5.486686474461952656e+01
2.700000000000000000e+01,3.000000000000000000e+00,-4.228616793536587389e-04,1.539090644965509830e-04,1.496884451246305921e-03,-5.486700531058816210e+01
2.800000000000000000e+01,3.000000000000000000e+00,-4.499999999999999877e-04,5.510910596163088785e-20,1.494307941446101689e-03,-5.475672653310184756e+01
2.900000000000000000e+01,3.000000000000000000e+00,-4.228616793536587931e-04,-1.539090644965509017e-04,1.496886506579410154e-03,-5.486681975141006262e+01
3.000000000000000000e+01,3.000000000000000000e+00,-3.447199994035402351e-04,-2.892544243589424821e-04,1.496882833461959765e-03,-5.486676234701935329e+01
3.100000000000000000e+01,3.000000000000000000e+00,-2.250000000000001836e-04,-3.897114317029972395e-04,1.494306978215363246e-03,-5.475668149670408980e+01
3.200000000000000000e+01,3.000000000000000000e+00,-7.814167995011865283e-05,-4.431634888554935735e-04,1.496899797324609217e-03,-5.486715347432786416e+01
3.300000000000000000e+01,3.000000000000000000e+00,7.814167995011849020e-05,-4.431634888554936277e-04,1.496899710679850575e-03,-5.486712123719711087e+01
3.400000000000000000e+01,3.000000000000000000e+00,2.249999999999996957e-04,-3.897114317029975647e-04,1.494305802763001064e-03,-5.475664614298651856e+01
3.500000000000000000e+01,3.000000000000000000e+00,3.447199994035400183e-04,-2.892544243589428073e-04,1.496880060514325234e-03,-5.486679117798957606e+01
3.600000000000000000e+01,3.000000000000000000e+00,4.228616793536587931e-04,-1.539090644965508746e-04,1.496882155420278587e-03,-5.486686626730489280e+01
3.700000000000000000e+01,4.000000000000000000e+00,5.999999999999999474e-04,0.000000000000000000e+00,2.946691713475633589e-03,-1.019701256050332603e+02
3.800000000000000000e+01,4.000000000000000000e+00,5.795554957734408994e-04,1.552914270615124296e-04,2.950491807964551131e-03,-1.020343955315747451e+02
3.900000000000000000e+01,4.000000000000000000e+00,5.196152422706631305e-04,2.999999999999999195e-04,2.954065638587736152e-03,-1.020989367455251653e+02
4.000000000000000000e+01,4.000000000000000000e+00,4.242640687119284969e-04,4.242640687119284427e-04,2.950473176207417912e-03,-1.020343577809526181e+02
4.100000000000000000e+01,4.000000000000000000e+00,3.000000000000000279e-04,5.196152422706631305e-04,2.946673795633874236e-03,-1.019701298203418673e+02
4.200000000000000000e+01,4.000000000000000000e+00,1.552914270615124296e-04,5.795554957734408994e-04,2.950496591128399636e-03,-1.020344164200658810e+02
4.300000000000000000e+01,4.000000000000000000e+00,3.673940397442059190e-20,5.999999999999999474e-04,2.954090665841549793e-03,-1.020989663247238468e+02
4.400000000000000000e+01,4.000000000000000000e+00,-1.552914270615123754e-04,5.795554957734408994e-04,2.950496680191979932e-03,-1.020343430168713468e+02
4.500000000000000000e+01,4.000000000000000000e+00,-2.999999999999998653e-04,5.196152422706631305e-04,2.946676632101323610e-03,-1.019700623794669809e+02
4.600000000000000000e+01,4.000000000000000000e+00,-4.242640687119284427e-04,4.242640687119284969e-04,2.950481081958240565e-03,-1.020343738736334416e+02
4.700000000000000000e+01,4.000000000000000000e+00,-5.196152422706631305e-04,2.999999999999999195e-04,2.954078098619695482e-03,-1.020990335489402128e+02
4.800000000000000000e+01,4.000000000000000000e+00,-5.795554957734408994e-04,1.552914270615125922e-04,2.950505670601428522e-03,-1.020344942053291817e+02
4.900000000000000000e+01,4.000000000000000000e+00,-5.999999999999999474e-04,7.347880794884118380e-20,2.946703370319636237e-03,-1.019701516253448119e+02
5.000000000000000000e+01,4.000000000000000000e+00,-5.795554957734408994e-04,-1.552914270615124567e-04,2.950502991898528403e-03,-1.020342766367211880e+02
5.100000000000000000e+01,4.000000000000000000e+00,-5.196152422706632390e-04,-2.999999999999998653e-04,2.954078916604819562e-03,-1.020988023648859979e+02
5.200000000000000000e+01,4.000000000000000000e+00,-4.242640687119287137e-04,-4.242640687119282258e-04,2.950492966408633979e-03,-1.020343299374432462e+02
5.300000000000000000e+01,4.000000000000000000e+00,-3.000000000000002448e-04,-5.196152422706630221e-04,2.946702113964807905e-03,-1.019702276236125584e+02
5.400000000000000000e+01,4.000000000000000000e+00,-1.552914270615123754e-04,-5.795554957734408994e-04,2.950531631042067719e-03,-1.020345767343603427e+02
5.500000000000000000e+01,4.000000000000000000e+00,-1.102182119232617757e-19,-5.999999999999999474e-04,2.954127969784186084e-03,-1.020991247466207028e+02
5.600000000000000000e+01,4.000000000000000000e+00,1.552914270615121585e-04,-5.795554957734410078e-04,2.950529498093303494e-03,-1.020344821363332670e+02
5.700000000000000000e+01,4.000000000000000000e+00,3.000000000000000279e-04,-5.196152422706631305e-04,2.946698017865871308e-03,-1.019701610600464932e+02
5.800000000000000000e+01,4.000000000000000000e+00,4.242640687119283885e-04,-4.242640687119285511e-04,2.950488519911815665e-03,-1.020343593521262875e+02
5.900000000000000000e+01,4.000000000000000000e+00,5.196152422706630221e-04,-3.000000000000002448e-04,2.954074291169225559e-03,-1.020988835119840559e+02
6.000000000000000000e+01,4.000000000000000000e+00,5.795554957734407910e-04,-1.552914270615129175e-04,2.950495568456459883e-03,-1.020343304937787678e+02
6.100000000000000000e+01,5.000000000000000000e+00,7.499999999999999072e-04,0.000000000000000000e+00,5.983206580592741880e-03,-1.489130781363403742e+02
6.200000000000000000e+01,5.000000000000000000e+00,7.336107005503541547e-04,1.559337681133194764e-04,5.989564688908529354e-03,-1.489463336001639391e+02
6.300000000000000000e+01,5.000000000000000000e+00,6.851590932319505519e-04,3.050524823068501037e-04,5.999665828661251976e-03,-1.490001158370971552e+02
6.400000000000000000e+01,5.000000000000000000e+00,6.067627457812104982e-04,4.408389392193547791e-04,5.999649196196307592e-03,-1.490001307812251241e+02
6.500000000000000000e+01,5.000000000000000000e+00,5.018479547691436643e-04,5.573586191080456310e-04,5.989527734255368878e-03,-1.489463778747926028e+02
6.600000000000000000e+01,5.000000000000000000e+00,3.750000000000000620e-04,6.495190528383288590e-04,5.983178294592412551e-03,-1.489131590975585198e+02
6.700000000000000000e+01,5.000000000000000000e+00,2.317627457812105718e-04,7.132923872213650261e-04,5.989570413616116668e-03,-1.489463666448175729e+02
6.800000000000000000e+01,5.000000000000000000e+00,7.839634745074008080e-05,7.458914215262048286e-04,5.999708350163186071e-03,-1.490001018673323756e+02
6.900000000000000000e+01,5.000000000000000000e+00,-7.839634745073998593e-05,7.458914215262049370e-04,5.999706422939442632e-03,-1.490000660428353285e+02
7.000000000000000000e+01,5.000000000000000000e+00,-2.317627457812104633e-04,7.132923872213651345e-04,5.989567487930745615e-03,-1.489462827999822423e+02
7.100000000000000000e+01,5.000000000000000000e+00,-3.749999999999998452e-04,6.495190528383289674e-04,5.983180557311385678e-03,-1.489130833202945041e+02
7.200000000000000000e+01,5.000000000000000000e+00,-5.018479547691433390e-04,5.573586191080457395e-04,5.989540812527899792e-03,-1.489463651161798055e+02
7.300000000000000000e+01,5.000000000000000000e+00,-6.067627457812103898e-04,4.408389392193548875e-04,5.999674162985646660e-03,-1.490001990118232982e+02
7.400000000000000000e+01,5.000000000000000000e+00,-6.851590932319506604e-04,3.050524823068499953e-04,5.999697759254974012e-03,-1.490002318865435598e+02
7.500000000000000000e+01,5.000000000000000000e+00,-7.336107005503541547e-04,1.559337681133194764e-04,5.989596279341687611e-03,-1.489464266178831906e+02
7.600000000000000000e+01,5.000000000000000000e+00,-7.499999999999999072e-04,4.249154173235984007e-19,5.983231505596091349e-03,-1.489131011291748621e+02
7.700000000000000000e+01,5.000000000000000000e+00,-7.336107005503541547e-04,-1.559337681133192866e-04,5.989581806742552000e-03,-1.489462202030803724e+02
7.800000000000000000e+01,5.000000000000000000e+00,-6.851590932319505519e-04,-3.050524823068501037e-04,5.999681496362457844e-03,-1.489999601240393474e+02
7.900000000000000000e+01,5.000000000000000000e+00,-6.067627457812104982e-04,-4.408389392193547249e-04,5.999674585851996235e-03,-1.490000306333485014e+02
8.000000000000000000e+01,5.000000000000000000e+00,-5.018479547691437727e-04,-5.573586191080454142e-04,5.989570759493616919e-03,-1.489463865064751360e+02
8.100000000000000000e+01,5.000000000000000000e+00,-3.750000000000002789e-04,-6.495190528383287506e-04,5.983240038019899641e-03,-1.489132672345398305e+02
8.200000000000000000e+01,5.000000000000000000e+00,-2.317627457812106531e-04,-7.132923872213650261e-04,5.989645198673395482e-03,-1.489465219307553525e+02
8.300000000000000000e+01,5.000000000000000000e+00,-7.839634745074066356e-05,-7.458914215262048286e-04,5.999788046488059752e-03,-1.490002393930765550e+02
8.400000000000000000e+01,5.000000000000000000e+00,7.839634745073972844e-05,-7.458914215262049370e-04,5.999783576638931769e-03,-1.490001637524148634e+02
8.500000000000000000e+01,5.000000000000000000e+00,2.317627457812103820e-04,-7.132923872213651345e-04,5.989633642387353664e-03,-1.489463763925626836e+02
8.600000000000000000e+01,5.000000000000000000e+00,3.750000000000000620e-04,-6.495190528383288590e-04,5.983227063141512668e-03,-1.489131926850860737e+02
8.700000000000000000e+01,5.000000000000000000e+00,5.018479547691437727e-04,-5.573586191080454142e-04,5.989561919492312168e-03,-1.489464222633993131e+02
8.800000000000000000e+01,5.000000000000000000e+00,6.067627457812103898e-04,-4.408389392193549417e-04,5.999670278775120526e-03,-1.490001165743280751e+02
8.900000000000000000e+01,5.000000000000000000e+00,6.851590932319505519e-04,-3.050524823068501037e-04,5.999675869985799000e-03,-1.490000357718516284e+02
9.000000000000000000e+01,5.000000000000000000e+00,7.336107005503541547e-04,-1.559337681133192053e-04,5.989567456696330387e-03,-1.489462596307957654e+02
9.100000000000000000e+01,6.000000000000000000e+00,8.999999999999999754e-04,0.000000000000000000e+00,1.241377156359001199e-02,1.641917005801324194e+02
9.200000000000000000e+01,6.000000000000000000e+00,8.863269777109871470e-04,1.562833599002373057e-04,1.242345836166118718e-02,1.641771908107436957e+02
9.300000000000000000e+01,6.000000000000000000e+00,8.457233587073175862e-04,3.078181289931018576e-04,1.244267140020337802e-02,1.641483080570633035e+02
9.400000000000000000e+01,6.000000000000000000e+00,7.794228634059948042e-04,4.499999999999999335e-04,1.245218956812221313e-02,1.641339444336004476e+02
9.500000000000000000e+01,6.000000000000000000e+00,6.894399988070801450e-04,5.785088487178852894e-04,1.244262951758322820e-02,1.641482581859109757e+02
